Category,Message,Sent_Date,Sent_Time,Source_IP,Source_Location
ham,"Go until jurong point, crazy.. Available only in bugis n great world la e buffet... Cine there got amore wat...",2025-08-27,04:07:23,192.168.30.220,"('Singapore', 'Central')"
ham,Ok lar... Joking wif u oni...,2025-08-26,05:26:31,172.16.45.110,"('Netherlands', 'North Holland')"
spam,Free entry in 2 a wkly comp to win FA Cup final tkts 21st May 2005. Text FA to 87121 to receive entry question(std txt rate)T&C's apply 08452810075over18's,2025-07-09,18:25:39,198.51.100.247,"('Netherlands', 'North Holland')"
ham,U dun say so early hor... U c already then say...,2025-09-13,03:08:30,203.0.113.124,"('Thailand', 'Bangkok')"
ham,"Nah I don't think he goes to usf, he lives around here though",2025-07-08,04:59:02,172.16.71.6,"('Thailand', 'Bangkok')"
spam,"FreeMsg Hey there darling it's been 3 week's now and no word back! I'd like some fun you up for it still? Tb ok! XxX std chgs to send, £1.50 to rcv",2025-07-27,09:07:50,45.67.65.103,"('Hong Kong', 'Hong Kong')"
ham,Even my brother is not like to speak with me. They treat me like aids patent.,2025-07-30,00:46:39,172.16.76.229,"('Indonesia', 'DKI Jakarta')"
ham,As per your request 'Melle Melle (Oru Minnaminunginte Nurungu Vettam)' has been set as your callertune for all Callers. Press *9 to copy your friends Callertune,2025-07-27,02:41:53,192.168.106.209,"('Singapore', 'Central')"
spam,WINNER!! As a valued network customer you have been selected to receivea £900 prize reward! To claim call 09061701461. Claim code KL341. Valid 12 hours only.,2025-08-09,15:13:18,45.67.124.58,"('Romania', 'Bucharest')"
spam,Had your mobile 11 months or more? U R entitled to Update to the latest colour mobiles with camera for Free! Call The Mobile Update Co FREE on 08002986030,2025-09-11,09:53:02,37.120.110.210,"('Netherlands', 'North Holland')"
ham,"I'm gonna be home soon and i don't want to talk about this stuff anymore tonight, k? I've cried enough today.",2025-09-26,03:18:42,192.168.135.44,"('Singapore', 'Central')"
spam,"SIX chances to win CASH! From 100 to 20,000 pounds txt> CSH11 and send to 87575. Cost 150p/day, 6days, 16+ TsandCs apply Reply HL 4 info",2025-07-26,14:51:13,5.188.73.141,"('Hong Kong', 'Hong Kong')"
spam,"URGENT! You have won a 1 week FREE membership in our £100,000 Prize Jackpot! Txt the word: CLAIM to No: 81010 T&C www.dbuk.net LCCLTD POBOX 4403LDNW1A7RW18",2025-08-23,13:54:31,45.67.192.138,"('Germany', 'Hesse')"
ham,I've been searching for the right words to thank you for this breather. I promise i wont take your help for granted and will fulfil my promise. You have been wonderful and a blessing at all times.,2025-08-25,00:56:25,192.168.180.62,"('Indonesia', 'DKI Jakarta')"
ham,I HAVE A DATE ON SUNDAY WITH WILL!!,2025-08-25,00:28:13,172.16.252.246,"('Indonesia', 'DKI Jakarta')"
spam,"XXXMobileMovieClub: To use your credit, click the WAP link in the next txt message or click here>> http://wap. xxxmobilemovieclub.com?n=QJKGIGHJJGCBL",2025-08-03,09:26:37,198.51.100.225,"('United States', 'Virginia')"
ham,Oh k...i'm watching here:),2025-09-14,02:51:36,192.168.16.227,"('Malaysia', 'Selangor')"
ham,Eh u remember how 2 spell his name... Yes i did. He v naughty make until i v wet.,2025-07-15,00:20:21,192.168.122.82,"('Singapore', 'Central')"
ham,Fine if thats the way u feel. Thats the way its gota b,2025-08-29,02:46:47,192.168.211.218,"('Indonesia', 'DKI Jakarta')"
spam,"England v Macedonia - dont miss the goals/team news. Txt ur national team to 87077 eg ENGLAND to 87077 Try:WALES, SCOTLAND 4txt/ú1.20 POBOXox36504W45WQ 16+",2025-09-25,10:18:54,45.67.32.225,"('Hong Kong', 'Hong Kong')"
ham,Is that seriously how you spell his name?,2025-07-29,05:09:29,124.13.192.87,"('Singapore', 'Central')"
ham,I‘m going to try for 2 months ha ha only joking,2025-07-31,03:09:16,185.220.100.33,"('Malaysia', 'Selangor')"
ham,So ü pay first lar... Then when is da stock comin...,2025-09-01,00:07:39,185.220.100.145,"('Indonesia', 'DKI Jakarta')"
ham,Aft i finish my lunch then i go str down lor. Ard 3 smth lor. U finish ur lunch already?,2025-09-21,05:22:39,10.0.161.210,"('Singapore', 'Central')"
ham,Ffffffffff. Alright no way I can meet up with you sooner?,2025-07-22,03:30:08,5.188.186.22,"('Malaysia', 'Kuala Lumpur')"
ham,Just forced myself to eat a slice. I'm really not hungry tho. This sucks. Mark is getting worried. He knows I'm sick when I turn down pizza. Lol,2025-08-16,03:19:34,192.168.191.231,"('Indonesia', 'DKI Jakarta')"
ham,Lol your always so convincing.,2025-08-12,03:27:22,172.16.247.168,"('Malaysia', 'Selangor')"
ham,Did you catch the bus ? Are you frying an egg ? Did you make a tea? Are you eating your mom's left over dinner ? Do you feel my Love ?,2025-08-26,00:49:13,124.13.174.249,"('Malaysia', 'Selangor')"
ham,"I'm back &amp; we're packing the car now, I'll let you know if there's room",2025-08-14,00:52:00,192.168.163.153,"('Malaysia', 'Selangor')"
ham,Ahhh. Work. I vaguely remember that! What does it feel like? Lol,2025-08-07,02:35:31,10.0.87.227,"('Thailand', 'Bangkok')"
ham,"Wait that's still not all that clear, were you not sure about me being sarcastic or that that's why x doesn't want to live with us",2025-09-15,00:16:01,10.0.85.14,"('Malaysia', 'Kuala Lumpur')"
ham,Yeah he got in at 2 and was v apologetic. n had fallen out and she was actin like spoilt child and he got caught up in that. Till 2! But we won't go there! Not doing too badly cheers. You?,2025-07-22,02:24:39,203.0.113.22,"('Malaysia', 'Kuala Lumpur')"
ham,K tell me anything about you.,2025-09-12,01:17:35,203.0.113.105,"('Singapore', 'Central')"
ham,For fear of fainting with the of all that housework you just did? Quick have a cuppa,2025-09-07,03:33:33,198.51.100.190,"('Malaysia', 'Selangor')"
spam,Thanks for your subscription to Ringtone UK your mobile will be charged £5/month Please confirm by replying YES or NO. If you reply NO you will not be charged,2025-07-30,14:47:42,5.188.88.52,"('Netherlands', 'North Holland')"
ham,Yup... Ok i go home look at the timings then i msg ü again... Xuhui going to learn on 2nd may too but her lesson is at 8am,2025-09-20,05:13:36,5.188.213.206,"('Thailand', 'Bangkok')"
ham,"Oops, I'll let you know when my roommate's done",2025-08-31,05:22:50,172.16.82.253,"('Thailand', 'Bangkok')"
ham,I see the letter B on my car,2025-09-12,03:16:11,124.13.112.47,"('Netherlands', 'North Holland')"
ham,Anything lor... U decide...,2025-08-15,03:05:10,37.120.154.23,"('Malaysia', 'Kuala Lumpur')"
ham,Hello! How's you and how did saturday go? I was just texting to see if you'd decided to do anything tomo. Not that i'm trying to invite myself or anything!,2025-09-08,03:50:03,124.13.11.104,"('Malaysia', 'Selangor')"
ham,Pls go ahead with watts. I just wanted to be sure. Do have a great weekend. Abiola,2025-07-29,00:29:57,203.0.113.33,"('Indonesia', 'DKI Jakarta')"
ham,"Did I forget to tell you ? I want you , I need you, I crave you ... But most of all ... I love you my sweet Arabian steed ... Mmmmmm ... Yummy",2025-09-07,04:37:25,172.16.157.164,"('Thailand', 'Bangkok')"
spam,07732584351 - Rodger Burns - MSG = We tried to call you re your reply to our sms for a free nokia mobile + free camcorder. Please call now 08000930705 for delivery tomorrow,2025-07-06,09:09:27,185.220.100.156,"('Netherlands', 'North Holland')"
ham,WHO ARE YOU SEEING?,2025-08-07,04:10:36,5.188.33.207,"('Malaysia', 'Selangor')"
ham,Great! I hope you like your man well endowed. I am  &lt;#&gt;  inches...,2025-09-27,04:38:22,185.220.100.176,"('Indonesia', 'DKI Jakarta')"
ham,No calls..messages..missed calls,2025-09-10,02:51:09,10.0.74.81,"('United States', 'Virginia')"
ham,Didn't you get hep b immunisation in nigeria.,2025-07-25,00:19:01,172.16.171.228,"('Malaysia', 'Selangor')"
ham,"Fair enough, anything going on?",2025-08-09,03:14:02,203.0.113.46,"('Indonesia', 'DKI Jakarta')"
ham,"Yeah hopefully, if tyler can't do it I could maybe ask around a bit",2025-08-03,01:39:30,37.120.106.115,"('Malaysia', 'Kuala Lumpur')"
ham,U don't know how stubborn I am. I didn't even want to go to the hospital. I kept telling Mark I'm not a weak sucker. Hospitals are for weak suckers.,2025-07-16,05:13:29,203.0.113.244,"('Singapore', 'Central')"
ham,What you thinked about me. First time you saw me in class.,2025-09-19,00:35:14,45.67.152.190,"('Indonesia', 'DKI Jakarta')"
ham,"A gram usually runs like  &lt;#&gt; , a half eighth is smarter though and gets you almost a whole second gram for  &lt;#&gt;",2025-09-27,02:11:35,10.0.23.239,"('Malaysia', 'Selangor')"
ham,K fyi x has a ride early tomorrow morning but he's crashing at our place tonight,2025-08-18,02:47:25,172.16.186.163,"('Malaysia', 'Kuala Lumpur')"
ham,"Wow. I never realized that you were so embarassed by your accomodations. I thought you liked it, since i was doing the best i could and you always seemed so happy about ""the cave"". I'm sorry I didn't and don't have more to give. I'm sorry i offered. I'm sorry your room was so embarassing.",2025-07-02,05:49:26,203.0.113.89,"('Indonesia', 'DKI Jakarta')"
spam,SMS. ac Sptv: The New Jersey Devils and the Detroit Red Wings play Ice Hockey. Correct or Incorrect? End? Reply END SPTV,2025-08-09,12:59:23,5.188.19.63,"('Netherlands', 'North Holland')"
ham,Do you know what Mallika Sherawat did yesterday? Find out now @  &lt;URL&gt;,2025-09-20,00:24:14,172.16.226.148,"('Malaysia', 'Selangor')"
spam,"Congrats! 1 year special cinema pass for 2 is yours. call 09061209465 now! C Suprman V, Matrix3, StarWars3, etc all 4 FREE! bx420-ip4-5we. 150pm. Dont miss out!",2025-07-21,14:09:33,5.188.134.53,"('Romania', 'Bucharest')"
ham,"Sorry, I'll call later in meeting.",2025-09-20,05:09:03,203.0.113.50,"('Thailand', 'Bangkok')"
ham,Tell where you reached,2025-09-27,05:58:56,124.13.228.80,"('Malaysia', 'Kuala Lumpur')"
ham,Yes..gauti and sehwag out of odi series.,2025-08-22,02:46:19,192.168.169.67,"('Singapore', 'Central')"
ham,Your gonna have to pick up a $1 burger for yourself on your way home. I can't even move. Pain is killing me.,2025-07-16,00:11:39,10.0.193.87,"('Indonesia', 'DKI Jakarta')"
ham,Ha ha ha good joke. Girls are situation seekers.,2025-07-07,02:31:52,172.16.226.113,"('Singapore', 'Central')"
ham,Its a part of checking IQ,2025-09-29,00:57:19,124.13.144.206,"('Thailand', 'Bangkok')"
ham,"Sorry my roommates took forever, it ok if I come by now?",2025-08-01,05:01:28,172.16.9.206,"('Singapore', 'Central')"
ham,Ok lar i double check wif da hair dresser already he said wun cut v short. He said will cut until i look nice.,2025-07-10,05:21:45,124.13.124.150,"('Singapore', 'Central')"
spam,"As a valued customer, I am pleased to advise you that following recent review of your Mob No. you are awarded with a £1500 Bonus Prize, call 09066364589",2025-08-06,13:18:13,185.220.100.85,"('Germany', 'Hesse')"
ham,"Today is ""song dedicated day.."" Which song will u dedicate for me? Send this to all ur valuable frnds but first rply me...",2025-07-16,05:43:07,10.0.192.158,"('Indonesia', 'DKI Jakarta')"
